A.T. Still University of Health Sciences (AZ / MO)	www.atsu.edu	198.209.172.115	38.882	-92.402
Abilene Christian University (TX)	www.acu.edu	150.252.8.96	32.466	-99.712
Abraham Baldwin Agricultural College (GA)	www.abac.edu	142.4.12.84	40.218	-111.613
Academy of Art University (CA)	www.academyart.edu	184.73.255.179	39.044	-77.488
Adams State College (CO)	www.adams.edu	192.156.134.51	37.476	-105.882
Adelphi University (NY)	www.adelphi.edu	192.147.12.33	40.728	-73.634
Adler Graduate School (MN)	www.alfredadler.edu	209.240.65.170	44.976	-93.217
Adler School of Professional Psychology (IL)	www.adler.edu	38.102.51.113	41.85	-87.65
Adrian College (MI)	adrian.edu	198.108.80.5	41.893	-84.066
Adventist University of Health Sciences (FL)	www.adu.edu	198.101.128.29	29.489	-98.399
Agnes Scott College (GA)	www.agnesscott.edu	71.16.117.34	33.771	-84.293
AIB College of Business (IA)	www.aib.edu	199.120.76.185	41.547	-93.667
Air Force Institute of Technology (OH)	www.afit.edu	129.92.253.61	32.404	-86.254
Air University (AL)	www.au.af.mil	50.58.123.33	39.297	-76.607
Alabama A&M University (AL)	www.aamu.edu	198.180.132.171	34.789	-86.572
Alabama State University (AL)	www.alasu.edu	192.111.112.176	32.367	-86.3
Alaska Bible College (AK)	www.akbible.edu	64.111.124.120	33.927	-117.861
Alaska Pacific University (AK)	www.alaskapacific.edu	198.58.125.54	39.49	-74.477
Albany College of Pharmacy & Health Sciences (NY)	www.acphs.edu	72.52.229.118	42.726	-84.636
Albany Medical College (NY)	www.amc.edu	167.244.213.150	42.653	-73.808
Albany State University (GA)	www.asurams.edu	208.93.210.224	41.516	-81.682
Albertus Magnus College (CT)	www.albertus.edu	192.185.22.241	29.83	-95.474
Albion College (MI)	www.albion.edu	147.124.1.89	42.294	-84.751
Albright College (PA)	www.albright.edu	174.37.248.183	39.044	-77.488
Alcorn State University (MS)	www.alcorn.edu	209.123.98.150	40.822	-74.456
Alderson-Broaddus College (WV)	www.ab.edu	66.118.84.102	39.179	-80.079
Alfred University (NY)	www.alfred.edu	149.84.147.116	42.254	-77.791
Alice Lloyd College (KY)	www.alc.edu	192.155.89.199	39.49	-74.477
Allegheny College (PA)	allegheny.edu	141.195.5.5	41.646	-80.173
Allen College (IA)	www.allencollege.edu	107.21.53.228	39.044	-77.488
Allen University (SC)	www.allenuniversity.edu	192.185.190.69	29.83	-95.474
Alliant International University (CA)	www.alliant.edu	50.23.242.90	32.93	-96.835
Alma College (MI)	www.alma.edu	192.101.250.226	43.379	-84.667
Alvernia University (PA)	athletics.alvernia.edu	74.205.103.185	29.489	-98.399
Alverno College (WI)	www.alverno.edu	50.56.164.153	29.489	-98.399
Ambassador University (TX) (closed spring 1997)	www.ambassador.edu	69.163.166.250	33.927	-117.861
Amberton University (TX)	www.amberton.edu	207.193.80.2	32.876	-96.648
American Academy of Art (IL)	www.aaart.edu	12.133.121.211	42.558	-88.001
American College of Acupuncture & Oriental Medicine (TX)	www.acaom.edu	192.254.227.132	29.83	-95.474
American College of Education (IL)	www.ace.edu	66.151.15.184	33.247	-84.264
The American College of Financial Services (PA)	www.theamericancollege.edu	67.216.77.12	39.952	-75.164
American Conservatory Theater (CA)	www.act-sf.org	54.213.105.37	47.584	-122.3
American Film Institute (CA)	www.afi.com	69.88.132.12	34.128	-118.289
American Indian College of the Assemblies of God (AZ)	www.aicag.edu	181.224.145.192	41.85	-87.65
American InterContinental University (IL)	www.aiuniv.edu	107.14.41.83	38	-97
American International College (MA)	www.aic.edu	166.78.253.137	29.424	-98.494
American Jewish University (CA)	www.aju.edu	76.79.81.104	34.052	-118.244
American Military University (WV)	www.amu.apus.edu	63.236.101.30	39.258	-77.87
American Public University (WV)	www.apus.edu	12.172.50.141	38.927	-77.394
American University (DC)	www.american.edu	147.9.1.186	38.938	-77.093
American University of Puerto Rico (PR)	www.aupr.edu	205.186.179.174	34.02	-118.393
Amherst College (MA)	www.amherst.edu	148.85.1.219	42.39	-72.453
Amridge University (AL)	amridgeuniversity.edu	24.179.7.25	32.6	-85.583
Anderson University (SC)	www.andersonuniversity.edu	98.129.93.154	29.489	-98.399
Anderson University (IN)	www.anderson.edu	64.56.114.90	39.757	-84.182
Andover Newton Theological School (MA)	www.ants.edu	209.240.81.7	44.98	-93.264
Andrews University (MI)	www.andrews.edu	143.207.1.30	42.002	-86.715
Angelo State University (TX)	www.angelo.edu	168.58.229.11	30.267	-97.743
Anna Maria College (MA)	www.annamaria.edu	192.185.22.136	29.83	-95.474
Antioch College (OH)	antiochcollege.org	66.203.20.36	39.795	-83.887
Antioch University–Midwest (OH)	midwest.antioch.edu	50.28.45.49	42.726	-84.636
Antioch University–New England (NH)	www.antiochne.edu	74.121.198.26	38.927	-77.394
Antioch University–Los Angeles (CA)	www.antiochla.edu	50.28.46.248	42.726	-84.636
Antioch University–Santa Barbara (CA)	www.antiochsb.edu	50.28.46.248	42.726	-84.636
Antioch University–Seattle (WA)	www.antiochseattle.edu	74.121.198.26	38.927	-77.394
AOMA Graduate School of Integrative Medicine (TX)	aoma.edu	69.162.148.82	32.715	-117.157
Appalachian Bible College (WV)	www.abc.edu	67.43.2.14	42.726	-84.636
Appalachian State University (NC)	www.appstate.edu	152.10.1.83	36.221	-81.713
Aquinas College (MI)	www.aquinas.edu	198.110.249.29	42.942	-85.616
