Name	Website	IP	Latitude	Longitude
Princeton University Princeton, NJ	www.princeton.edu			
Harvard University Cambridge, MA	www.harvard.edu			
Yale University New Haven, CT	www.yale.edu			
Columbia University New York, NY	www.columbia.edu			
Stanford University Stanford, CA	www.stanford.edu			
University of Chicago Chicago, IL	www.uchicago.edu			
Duke University Durham, NC	www.duke.edu			
Massachusetts Institute of Technology Cambridge, MA	www.mit.edu			
University of Pennsylvania Philadelphia, PA	www.upenn.edu			
California Institute of Technology Pasadena, CA	www.cit.edu			
Dartmouth College Hanover, NH	www.dartmouth.edu			
Johns Hopkins University Baltimore, MD	www.jhu.edu			
Northwestern University Evanston, IL	www.northwestu.edu			
Brown University Providence, RI	www.brown.edu			
Washington University in St. LouisSt. Louis, MO	www.wustl.edu			
Cornell University Ithaca, NY	www.cornell.edu			
Vanderbilt University Nashville, TN	www.vanderbilt.edu			
Rice University Houston, TX	www.rice.edu			
University of Notre Dame Notre Dame, IN	nd.edu			
Emory University Atlanta, GA	www.emory.edu			
Georgetown University Washington, DC	www.georgetown.edu			
University of California—​Berkeley Berkeley, CA	www.berkeley.edu			
Carnegie Mellon University Pittsburgh, PA	www.cmu.edu			
University of California—​Los Angeles Los Angeles, CA	www.ucla.edu			
University of Southern California Los Angeles, CA	www.usc.edu			
University of Virginia Charlottesville, VA	www.virginia.edu			
Wake Forest University Winston-Salem, NC	www.wfu.edu			
Tufts University Medford, MA	www.tufts.edu			
University of Michigan—​Ann Arbor Ann Arbor, MI	www.umich.edu			
University of North Carolina—​Chapel Hill Chapel Hill, NC	unc.edu			
Boston College Chestnut Hill, MA	www.bc.edu			
Brandeis University Waltham, MA	www.brandeis.edu			
College of William and Mary Williamsburg, VA	www.wm.edu			
New York University New York, NY	www.nyu.edu			
University of Rochester Rochester, NY	www.rochester.edu			
Georgia Institute of Technology Atlanta, GA	www.gatech.edu			
Case Western Reserve University Cleveland, OH	www.case.edu			
Pennsylvania State University—​University Park University Park, PA	www.psu.edu			
University of California—​Davis Davis, CA	www.ucdavis.edu			
University of California—​San DiegoLa Jolla, CA	ucsd.edu			
Boston University Boston, MA	www.bu.edu			
Lehigh University Bethlehem, PA	www.lehigh.edu			
Rensselaer Polytechnic Institute Troy, NY	www.rpi.edu			
University of California—​Santa Barbara Santa Barbara, CA	www.ucsb.edu			
University of Illinois—​Urbana-​Champaign Champaign, IL	illinois.edu			
University of Wisconsin—​Madison Madison, WI	www.wisc.edu			
University of Miami Coral Gables, FL	www.miami.edu			
Yeshiva University New York, NY	www.yu.edu			
Northeastern University Boston, MA	www.northeastern.edu			
University of California—​Irvine Irvine, CA	uci.edu			
University of Florida Gainesville, FL	www.ufl.edu			
George Washington University Washington, DC	www.gwu.edu			
Ohio State University—​Columbus Columbus, OH	www.osu.edu			
Tulane University New Orleans, LA	tulane.edu			
University of Texas—​Austin Austin, TX	www.utexas.edu			
University of WashingtonSeattle, WA	www.washington.edu			
Fordham University New York, NY	www.fordham.edu			
Pepperdine University Malibu, CA	www.pepperdine.edu			
University of ConnecticutStorrs, CT	www.uconn.edu			
Southern Methodist University Dallas, TX	www.smu.edu			
University of Georgia Athens, GA	www.uga.edu			
Brigham Young University—​Provo Provo, UT	www.byu.edu			
Clemson University Clemson, SC	www.clemson.edu			
Syracuse University Syracuse, NY	www.syr.edu			
University of Maryland—​College Park College Park, MD	www.umd.edu			
University of Pittsburgh Pittsburgh, PA	www.pitt.edu			
Worcester Polytechnic Institute Worcester, MA	www.wpi.edu			
Purdue University—​West Lafayette West Lafayette, IN	www.purdue.edu			
Rutgers, the State University of New Jersey—​New Brunswick Piscataway, NJ	www.rutgers.edu			
Texas A&M University—​College Station College Station, TX	www.tamu.edu			
University of Minnesota—​Twin Cities Minneapolis, MN	www.umn.edu			
Virginia Tech Blacksburg, VA	www.vt.edu			
Michigan State University East Lansing, MI	www.msu.edu			
University of Iowa Iowa City, IA	www.uiowa.edu			
American University Washington, DC	www.american.edu			
Baylor University Waco, TX	www.baylor.edu			
Clark University Worcester, MA	www.clarku.edu			
Indiana University—​Bloomington Bloomington, IN	www.iub.edu			
Marquette University Milwaukee, WI	www.marquette.edu			
Miami University—​Oxford Oxford, OH				
University of Delaware Newark, DE				
Stevens Institute of Technology Hoboken, NJ				
Stony Brook University—​SUNY Stony Brook, NY				
Texas Christian University Fort Worth, TX				
University of Vermont Burlington, VT				
SUNY College of Environmental Science and Forestry Syracuse, NY				
University of Alabama Tuscaloosa, AL				
University of California—​Santa Cruz Santa Cruz, CA				
University of Colorado—​Boulder Boulder, CO				
University of Tulsa Tulsa, OK				
Auburn University Auburn University, AL				
Colorado School of Mines Golden, CO				
Florida State University Tallahassee, FL				
University of Denver Denver, CO				
University of Massachusetts—​Amherst Amherst, MA				
University of San Diego San Diego, CA				
Binghamton University—​SUNY Binghamton, NY				
Drexel University Philadelphia, PA				
University of Missouri Columbia, MO				
University of New Hampshire Durham, NH				
Iowa State University Ames, IA				
Loyola University Chicago Chicago, IL				
North Carolina State University—​Raleigh Raleigh, NC				
St. Louis University St. Louis, MO				
University of Kansas Lawrence, KS				
University of Nebraska—​Lincoln Lincoln, NE				
University of Oklahoma Norman, OK				
University of Tennessee Knoxville, TN				
Illinois Institute of Technology Chicago, IL				
University at Buffalo—​SUNY Buffalo, NY				
University of Oregon Eugene, OR				
University of California—​Riverside Riverside, CA				
University of Dayton Dayton, OH				
University of South Carolina Columbia, SC				
University of St. Thomas St. Paul, MN				
University of the Pacific Stockton, CA				
Michigan Technological University Houghton, MI				
University of San Francisco San Francisco, CA				
University of Arizona Tucson, AZ				
University of Kentucky Lexington, KY				
The Catholic University of America Washington, DC				
Clarkson University Potsdam, NY				
Colorado State University Fort Collins, CO				
DePaul University Chicago, IL				
Duquesne University Pittsburgh, PA				
Temple University Philadelphia, PA				
University of Utah Salt Lake City, UT				
Missouri University of Science & Technology Rolla, MO				
Polytechnic Institute of New York University Brooklyn, NY				
Seton Hall University South Orange, NJ				
University at Albany—​SUNY Albany, NY				
University of Arkansas Fayetteville, AR				
University of Illinois—​Chicago Chicago, IL				
Washington State University Pullman, WA				
Hofstra University Hempstead, NY				
Kansas State University Manhattan, KS				
Louisiana State University—​Baton Rouge Baton Rouge, LA				
New School New York, NY				
Ohio University Athens, OH				
University of CincinnatiCincinnati, OH				
George Mason University Fairfax, VA				
Arizona State University Tempe, AZ				
Howard University 1Washington, DC				
Mississippi State University Mississippi State, MS				
Oklahoma State University Stillwater, OK				
Oregon State University Corvallis, OR				
Rutgers, the State University of New Jersey—​Newark Newark, NJ				
St. John Fisher CollegeRochester, NY				
University of Texas—​Dallas Richardson, TX				
New Jersey Institute of Technology Newark, NJ				
University of Mississippi University, MS				
Adelphi University Garden City, NY				
Illinois State UniversityNormal, IL				
San Diego State University San Diego, CA				
St. John's University Queens, NY				
University of Alabama—​Birmingham Birmingham, AL				
University of Rhode Island Kingston, RI				
University of Hawaii—​Manoa Honolulu, HI				
University of Maryland—​Baltimore County Baltimore, MD				
University of Massachusetts—​Lowell Lowell, MA				
