Name	Website	IP	Latitude	Longitude
Princeton University Princeton, NJ	www.princeton.edu	128.112.132.86	40.376	-74.66
Harvard University Cambridge, MA	www.harvard.edu	54.230.48.192	47.584	-122.3
Yale University New Haven, CT	www.yale.edu	130.132.35.53	41.308	-72.928
Columbia University New York, NY	www.columbia.edu	128.59.105.24	40.801	-73.965
Stanford University Stanford, CA	www.stanford.edu	54.200.81.11	45.779	-119.529
University of Chicago Chicago, IL	www.uchicago.edu	198.101.129.15	29.489	-98.399
Duke University Durham, NC	www.duke.edu	152.3.72.104	35.995	-78.902
Massachusetts Institute of Technology Cambridge, MA	www.mit.edu	23.75.90.198	42.363	-71.084
University of Pennsylvania Philadelphia, PA	www.upenn.edu	50.58.123.35	39.297	-76.607
California Institute of Technology Pasadena, CA	www.cit.edu	205.251.133.94	33.726	-84.431
Dartmouth College Hanover, NH	www.dartmouth.edu	129.170.201.26	43.723	-72.134
Johns Hopkins University Baltimore, MD	www.jhu.edu	128.220.192.40	39.329	-76.597
Northwestern University Evanston, IL	www.northwestu.edu	70.97.96.63	47.673	-122.187
Brown University Providence, RI	www.brown.edu	128.148.252.129	41.827	-71.398
Washington University in St. LouisSt. Louis, MO	www.wustl.edu	128.252.87.149	38.666	-90.323
Cornell University Ithaca, NY	www.cornell.edu	132.236.204.10	42.448	-76.48
Vanderbilt University Nashville, TN	www.vanderbilt.edu	129.59.15.60	36.147	-86.777
Rice University Houston, TX	www.rice.edu	128.42.204.11	29.718	-95.419
University of Notre Dame Notre Dame, IN	nd.edu	204.236.227.245	39.044	-77.488
Emory University Atlanta, GA	www.emory.edu	170.140.125.16	33.795	-84.325
Georgetown University Washington, DC	www.georgetown.edu	205.134.189.192	39.05	-76.906
University of California—​Berkeley Berkeley, CA	www.berkeley.edu	169.229.216.200	37.867	-122.254
Carnegie Mellon University Pittsburgh, PA	www.cmu.edu	128.2.42.52	40.444	-79.956
University of California—​Los Angeles Los Angeles, CA	www.ucla.edu	164.67.228.152	33.787	-118.299
University of Southern California Los Angeles, CA	www.usc.edu	128.125.253.146	33.787	-118.299
University of Virginia Charlottesville, VA	www.virginia.edu	128.143.22.36	38.033	-78.514
Wake Forest University Winston-Salem, NC	www.wfu.edu	152.17.48.83	36.1	-80.244
Tufts University Medford, MA	www.tufts.edu	130.64.212.28	42.402	-71.119
University of Michigan—​Ann Arbor Ann Arbor, MI	www.umich.edu	141.211.243.44	42.324	-83.711
University of North Carolina—​Chapel Hill Chapel Hill, NC	unc.edu	152.19.230.139	36.052	-79.108
Boston College Chestnut Hill, MA	www.bc.edu	136.167.2.220	42.319	-71.15
Brandeis University Waltham, MA	www.brandeis.edu	129.64.99.200	42.376	-71.236
College of William and Mary Williamsburg, VA	www.wm.edu	128.239.29.10	37.271	-76.708
New York University New York, NY	www.nyu.edu	128.122.119.202	40.732	-73.988
University of Rochester Rochester, NY	www.rochester.edu	128.151.77.39	43.155	-77.616
Georgia Institute of Technology Atlanta, GA	www.gatech.edu	130.207.160.173	33.776	-84.398
Case Western Reserve University Cleveland, OH	www.case.edu	129.22.104.136	41.507	-81.605
Pennsylvania State University—​University Park University Park, PA	www.psu.edu	146.186.157.6	40.808	-77.861
